name,add1,add2,time
강남 2호점,서울 강남구 역삼동 822-2,서울 강남구 테헤란로 107 메디타워2층,08:00~24:00
미아역,서울 강북구 미아동 197-5,서울 강북구 도봉로 204 미아역 맥도날드,07:00~02:00
마리오 아울렛,서울 금천구 가산동 60-22,서울 금천구 디지털로 185 마리오아울렛1,09:00~22:00
등촌 DT,서울 강서구 등촌동 630,서울 강서구 양천로 546,24시간
잠실역,서울 송파구 신천동 7-25,서울 송파구 송파대로 558,06:00 ~ 24:00
성균관대,서울 종로구 명륜2가 197-1,서울 종로구 창경궁로 241-1,08:00~24:00
석촌역,서울 송파구 송파동 84,서울 송파구 백제고분로 390,24시간
서울교대점,서울 서초구 서초동 1674-5,서울 서초구 서초대로 316(서초동) ,10:00~22:30
양평SK DT,서울 영등포구 양평동3가 80-2,서울 영등포구 선유로 195,24시간
신월남부 DT점,서울 양천구 신월동 525-1,서울 양천구 남부순환로 553 (신월동) ,07:00~24:00
연세대점,서울 서대문구 창천동 33-12,서울 서대문구 연세로 33,24시간
삼성역,서울 강남구 삼성동 158-15,서울 강남구 삼성로92길 29 도일빌딩 1층,24시간
합정메세나폴리스,서울 마포구 서교동 490,서울 마포구 양화로 45 메세나폴리스 2층 맥도날드,"일~목 07:00~24:00, 금~토 7:00~01:00"
여의도,서울 영등포구 여의도동 23,서울 영등포구 국제금융로 10 L3층,07:00~22:00
강남구청,서울 강남구 논현동 242-29,서울 강남구 선릉로 667,24시간
어린이대공원점,서울 광진구 화양동 212,서울 광진구 광나루로 392,09:00~02:00
명동 2호점,서울 중구 회현동3가 1-5,서울 중구 퇴계로 116-1 (회현동 3가),10:30~22:00
가산디지털,서울 금천구 가산동 50-3,서울 금천구 벚꽃로 298 대륭포스트타워 6차,08:00~24:00
양재 SK DT,서울 서초구 양재동 81,서울 서초구 바우뫼로 178,24시간
가산비지니스센터점,서울 금천구 가산동 371-6,서울 금천구 가산디지털1로 165 (가산동),07:00~22:00
이수점,서울 동작구 사당동 147-29,서울 동작구 사당로 300 (사당동) ,07:00~22:00
신도림 디큐브,서울 구로구 신도림동 692,서울 구로구 경인로 662 디큐브시티 B2,07:00~22:00
공덕점,서울 마포구 도화동 559,서울 마포구 마포대로 53 (도화동),07:00~22:00
중앙대,서울 동작구 흑석동 221,서울 동작구 흑석로 84 (R&D센터 지하1층 맥도날드),08:00~24:00
한티역,서울 강남구 대치동 938-22,서울 강남구 도곡로 409,24시간
선릉,서울 강남구 역삼동 707-27,서울 강남구 테헤란로 326 아이타워 1층 맥도날드,08:00~24:00
서초GS점,서울 서초구 서초동 1536-1,서울 서초구 효령로49길 52 (서초동) ,"평일 07시~22시
주말 08시~20시"
명동,서울 중구 명동1가 48-2,서울 중구 명동7길 8,07:00~24:00
구로디지털,서울 구로구 구로동 197-21,서울 구로구 디지털로31길 12 태평양물산 1층 맥도날드,24시간
종로 3,서울 종로구 종로3가 10,서울 종로구 종로 115,07:00~22:00
은평이마트,서울 은평구 응암동 90-1,서울 은평구 은평로 111 은평이마트 8층 맥도날드,"10:00~22:00 2,4째주 일요일 휴무"
압구정CGV,서울 강남구 신사동 603-2,서울 강남구 논현로 848 1층 맥도날드,08:00~22:00
서초뱅뱅,서울 서초구 서초동 1338-20,"서울 서초구 강남대로 305, 101호(서초 현대렉시온)",24시간
쌍문DT점,서울 도봉구 쌍문동 700,서울 도봉구 도봉로 541 (쌍문동) ,07:00~02:00
